Year,Month,General,Food_Beverages,Housing,Transport_Communication,Clothing_Footwear,Health,Miscellaneous
2022,1,170.0,185.0,155.0,145.0,160.0,165.0,160.0
2022,2,170.99,185.4,155.57,145.48,161.03,166.0,161.18
2022,3,171.42,186.24,155.9,145.97,161.84,166.36,161.69
2022,4,172.43,187.22,156.42,146.77,162.95,166.7,162.8
2022,5,173.5,187.98,156.88,147.91,163.6,167.12,163.22
2022,6,174.73,189.03,157.96,148.85,164.46,168.43,163.91
2022,7,175.66,190.35,158.86,149.92,165.35,169.48,164.29
2022,8,176.25,191.06,159.25,150.43,165.79,170.1,165.24
2022,9,176.99,191.87,159.77,150.97,167.05,171.11,166.18
2022,10,177.52,193.09,160.25,151.62,168.37,172.11,167.06
2022,11,178.61,194.46,161.31,152.13,168.74,172.78,167.67
2022,12,179.19,195.94,162.48,152.72,169.74,173.53,168.92
2023,1,180.04,196.65,163.05,153.54,170.35,174.49,170.17
2023,2,180.84,197.3,164.35,154.32,170.79,174.88,170.62
2023,3,181.88,198.63,165.1,154.68,171.52,176.28,171.5
2023,4,183.3,200.05,165.44,155.66,172.56,177.2,172.12
2023,5,184.37,200.59,166.2,156.4,173.9,178.49,172.74
2023,6,185.3,201.21,167.44,157.53,174.55,179.53,173.71
2023,7,185.84,202.53,168.32,158.58,175.46,179.89,174.4
2023,8,186.23,204.06,169.54,159.69,176.13,180.31,175.67
2023,9,187.66,204.58,170.38,160.07,177.29,181.5,176.15
2023,10,188.57,205.66,170.99,161.23,178.09,182.09,177.08
2023,11,189.77,206.32,171.65,162.52,179.14,182.93,177.98
2023,12,190.29,207.01,172.34,163.42,179.75,183.54,178.41
2024,1,191.39,207.71,173.62,164.58,180.19,184.17,179.49
2024,2,192.02,208.29,174.94,165.48,181.06,185.41,180.71
2024,3,192.62,208.83,175.75,166.23,181.93,186.59,181.81
2024,4,194.15,209.37,176.52,166.9,183.23,187.24,182.38
2024,5,195.06,210.32,177.17,167.48,184.61,188.11,183.68
2024,6,196.09,210.8,178.59,168.66,186.06,189.53,184.99
2024,7,196.68,211.84,179.17,169.4,186.49,190.34,186.45
2024,8,197.39,213.26,180.02,170.17,187.94,191.86,187.45
2024,9,198.63,213.88,180.7,171.5,188.97,192.87,188.66
2024,10,199.1,215.06,181.61,172.72,189.52,194.37,189.13
2024,11,199.72,216.26,182.71,173.31,190.04,195.79,189.79
2024,12,200.83,217.49,183.53,174.26,191.01,197.28,190.4
2025,1,202.09,218.24,184.33,175.31,191.74,198.05,191.64
2025,2,202.59,219.28,185.81,176.71,192.21,198.7,192.33
2025,3,204.13,220.87,187.16,177.46,192.77,200.09,193.52
2025,4,205.28,222.62,188.27,177.82,194.11,200.85,194.68
2025,5,206.85,223.25,188.78,178.29,195.14,201.58,195.78
2025,6,208.15,223.97,189.87,178.93,196.1,203.08,197.16
2025,7,208.69,224.98,190.57,179.29,197.4,204.26,197.87
2025,8,210.03,226.18,191.44,179.66,197.88,205.75,199.34
2025,9,211.14,227.76,192.49,180.18,198.43,206.55,200.81
2025,10,212.57,229.4,193.91,180.77,199.12,207.09,202.15
2025,11,214.12,230.41,195.02,181.3,200.63,208.58,203.74
2025,12,215.59,232.09,195.44,182.46,201.43,210.16,205.13
2026,1,217.14,233.69,196.14,183.69,201.97,211.68,206.59
2026,2,217.87,235.3,197.08,184.39,203.34,212.39,207.04
2026,3,218.55,236.23,198.49,185.83,204.08,213.63,207.95
2026,4,220.28,237.46,200.01,186.33,205.68,214.29,209.56
2026,5,221.07,238.09,200.93,187.52,206.48,215.5,210.63
2026,6,222.02,239.39,201.64,188.69,206.89,217.12,211.73
2026,7,223.42,240.94,202.86,189.48,207.39,218.42,212.57
2026,8,224.29,242.65,204.14,190.2,208.19,219.4,213.51
2026,9,225.14,243.32,205.06,191.65,209.46,221.02,214.72
2026,10,226.0,244.6,205.47,192.37,210.41,222.23,216.0
2026,11,227.08,245.74,206.15,193.3,211.97,223.74,216.65
2026,12,227.65,246.99,207.34,194.07,213.44,225.2,217.96
2027,1,228.41,247.78,207.79,194.75,214.47,226.79,218.49
2027,2,229.43,249.21,208.44,195.95,215.54,227.58,219.79
2027,3,229.9,250.84,209.82,196.47,216.52,228.28,221.49
2027,4,231.08,251.41,210.56,197.86,217.55,229.83,222.82
2027,5,232.91,252.81,212.18,199.31,218.78,231.28,223.94
2027,6,234.53,254.15,213.74,200.6,219.84,232.1,224.72
2027,7,235.9,255.83,214.84,201.76,220.64,232.68,225.55
2027,8,236.76,256.83,215.97,202.33,221.39,234.11,226.96
2027,9,237.32,257.97,217.1,203.24,222.11,235.17,228.65
2027,10,238.63,259.56,218.65,204.58,223.06,235.65,229.59
2027,11,240.18,261.41,220.34,205.5,224.51,236.89,230.88
2027,12,240.98,262.28,221.36,205.95,225.41,238.33,231.9
